k,two,four,six,eight
1.0000000000000000e+00,1.0061375263820059e-01,4.6860717255160909e-02,4.6534677900562281e-02,4.6488324553607061e-02
2.0000000000000000e+00,1.6924045497737118e-02,1.8804827159860781e-03,1.8804885722878929e-03,1.8804845470928898e-03
3.0000000000000000e+00,7.7005714798480561e-03,1.0582554469480862e-04,8.3824544472991855e-05,8.2849955179670933e-05
4.0000000000000000e+00,7.5676666328791352e-03,3.5824576241951516e-05,3.5350945359883634e-06,3.5345539984303429e-06
5.0000000000000000e+00,7.4590856296450911e-03,3.3042901114362659e-05,2.0694514658886946e-07,1.5228772810508747e-07
6.0000000000000000e+00,3.9727122701285998e-03,2.7780691679691389e-05,1.6822301219312100e-07,6.7813484211984908e-09
7.0000000000000000e+00,3.6874274276725333e-03,1.9080983599197503e-05,1.1356238469451126e-07,1.0309441370448234e-09
8.0000000000000000e+00,3.1120835430277871e-03,3.5579136917109411e-06,9.2592815054044426e-08,8.2836394909687670e-10
9.0000000000000000e+00,3.0547305879790642e-03,1.6194119898110335e-06,8.5310662024430383e-08,6.2755992553396559e-10
1.0000000000000000e+01,1.8765731288018740e-03,9.0326866493556561e-07,6.3427795530121387e-09,3.2494517431769724e-10
1.1000000000000000e+01,1.8685430259138412e-03,4.6952593662322167e-07,2.6168823515015256e-10,2.0608023316140388e-10
1.2000000000000000e+01,1.3479914587564976e-03,2.6405775113643127e-07,1.5627067794381612e-10,1.3730588029967397e-11
1.3000000000000000e+01,9.1146318405294253e-04,1.1791222264043918e-07,1.2816395078504223e-11,7.8811996688743408e-13
1.4000000000000000e+01,5.0369084479240009e-04,2.3228406828809809e-08,1.0252903666779368e-11,9.7760618788299467e-15
1.5000000000000000e+01,2.2905051512040327e-04,1.1081568783274393e-08,2.6784864898761184e-14,5.9383263109530492e-15
1.6000000000000000e+01,5.2420344966637256e-05,8.0476991509855786e-09,2.0834971091407220e-15,3.8610474885761798e-15
